Municipality Code,,nochem,croprot,covercrop,apm,noconvtill,directplanting,lowtill ,soil,drip,fert,famlab,lowincome,associated,regtech,credit,offfarminc
4200051, Abdon Batista ,21.14,18.30,8.82,1.26,73.67,77.05,8.36,46.59,57.14,81.73,85.71,51.87,46.53,9.62,60.88,56.47
4200101, Abelardo Luz ,25.34,24.53,3.43,0.43,73.16,87.17,3.46,75.65,6.67,83.19,95.94,60.75,63.43,17.20,33.97,12.70
4200200,Agrolandia,17.29,24.83,33.49,55.99,37.15,54.60,9.01,72.83,21.62,89.85,85.92,38.55,38.87,22.26,30.65,26.03
4200309,Agronomica,10.17,11.61,60.75,3.97,16.84,37.04,11.78,91.08,7.02,92.68,80.99,24.84,49.60,46.74,40.06,15.10
4200408,Agua Doce,49.56,32.98,3.59,40.74,82.89,77.38,10.65,79.03,50.00,83.03,78.14,26.43,56.08,21.34,47.80,23.63
4200507,Aguas de Chapeco,10.69,34.30,21.65,56.73,22.15,35.03,66.04,94.05,0.00,92.81,71.53,44.39,74.54,33.38,57.26,18.21
4200556,Aguas Frias,33.49,50.00,10.60,19.58,79.32,91.62,8.38,64.42,.,94.19,95.73,43.72,80.42,21.46,67.22,10.85
4200606,Aguas Morras,28.98,2.65,0.84,7.96,16.46,8.70,32.92,83.92,36.51,82.27,72.22,39.06,63.27,12.17,28.54,11.95
4200705, Alfredo Wagner ,17.12,7.03,36.62,21.03,35.06,19.23,35.91,90.50,0.80,87.29,74.96,37.45,50.57,5.10,54.14,36.11
4200754, Alto Bela Vista ,49.87,40.16,17.26,88.98,76.20,76.51,18.67,56.04,100.00,92.58,98.18,42.08,59.06,12.86,44.88,18.90
4200804, Anchieta ,23.20,43.70,9.95,14.13,76.45,53.03,41.58,80.74,0.00,83.54,91.91,51.64,64.55,16.25,59.84,21.44
4200903, Angelina ,18.10,3.54,10.36,21.22,27.00,6.94,55.81,86.70,25.00,87.23,86.19,37.80,48.09,22.35,27.58,8.06
4201000, Anita Garibaldi ,78.21,8.60,0.93,2.55,34.66,12.22,24.30,64.50,20.00,50.00,92.37,52.38,47.57,8.26,33.36,41.96
4201109,Anitapolis,52.93,3.19,3.59,10.11,22.10,7.73,14.92,72.21,20.00,62.08,89.83,34.21,52.13,4.52,10.11,26.33
4201208,Antonio Carlos,37.19,0.94,0.30,5.94,22.69,0.21,26.26,72.67,0.00,82.15,89.57,44.48,16.72,9.22,22.97,24.38
4201257,Apiuna,40.72,3.32,17.39,19.39,37.87,4.26,41.70,63.85,0.00,61.54,90.81,21.28,23.55,23.27,14.68,22.16
4201273,Arabuta,24.56,50.89,0.13,47.34,67.09,45.89,43.67,84.65,.,92.68,79.64,36.44,75.17,37.52,45.70,26.19
4201307, Araquari ,50.92,4.80,1.20,18.08,55.61,3.90,53.17,71.71,6.90,66.53,91.53,32.41,29.15,15.50,22.14,18.08
4201406,Ararangua,20.55,1.57,28.14,3.14,6.65,1.25,5.71,85.97,2.19,89.35,57.42,25.95,29.98,55.87,32.18,8.28
4201505,Armenazem,40.61,16.97,3.06,0.81,67.13,3.81,65.40,62.72,0.00,60.95,85.97,32.68,45.05,25.05,14.55,25.25
4201604, Arroio Trinta ,14.23,38.08,58.54,11.92,83.94,94.78,15.26,89.47,14.29,90.98,87.45,32.71,58.85,37.31,48.46,20.77
4201653, Arvoredo ,14.13,45.38,0.00,3.26,97.23,96.92,1.54,78.13,0.00,85.68,97.65,47.01,70.38,45.11,46.47,18.21
4201703, Ascurra ,42.22,4.44,1.85,33.33,7.56,0.00,7.56,82.73,0.00,77.70,78.42,43.88,30.37,11.85,27.41,16.30
4201802, Atalanta ,16.37,22.29,69.50,36.09,16.70,66.15,9.58,88.50,7.21,92.79,90.82,31.60,66.86,46.35,48.92,14.79
4201901, Aurora ,6.28,6.82,55.37,5.32,36.60,31.63,19.01,75.77,0.00,95.61,80.98,25.76,61.66,33.70,48.57,13.37
4201950, Balneario Arroio do Silva ,100.00,8.70,6.45,8.70,37.50,12.50,25.00,26.09,0.00,26.09,94.74,48.00,.,0.00,4.35,26.09
4202008, Balneario Camboriu,50.00,0.00,0.00,0.00,16.67,22.22,0.00,0.00,0.00,100.00,100,33.33,.,50.00,0.00,25.00
4202057, Balneario Barra do Sul ,66.67,20.00,0.00,26.67,0.00,0.00,0.00,88.24,0.00,100.00,76.47,23.53,40.00,0.00,20.00,20.00
4202073, Balneario Gaivota ,66.42,7.30,17.42,0.36,29.75,1.90,28.48,58.45,66.67,46.13,77.43,23.18,46.35,6.57,24.82,41.97
4202081, Bandeirante ,12.30,45.90,0.00,14.75,30.00,5.00,25.00,64.90,0.00,92.41,79.36,42.80,57.99,17.62,59.02,18.65
4202099, Barra Bonita ,38.90,49.88,17.41,53.94,75.71,80.57,15.59,90.54,.,77.03,72.82,45.53,48.21,12.65,58.71,20.76
4202107, Barra Velha ,73.95,2.79,0.23,2.33,72.80,92.03,1.65,51.79,0.00,33.48,96.04,34.51,39.53,18.60,12.09,19.07
4202131, Bela Vista do Toldo ,12.97,5.57,0.38,1.93,67.80,22.03,52.54,75.44,0.00,85.16,91.78,35.25,51.77,45.77,46.95,5.89
4202156, Belmonte ,16.81,40.58,42.36,0.87,6.26,19.80,0.89,89.57,.,93.05,77.51,36.68,83.48,39.71,61.45,14.49
4202206, Benedito Novo ,52.40,2.57,5.09,15.75,76.16,84.30,11.34,88.58,5.17,55.56,87.99,33.13,29.11,6.51,7.02,38.87
4202305, Biguacu ,58.60,7.94,3.76,4.54,18.71,11.40,9.25,33.46,3.23,57.17,86.37,31.02,27.22,6.24,11.34,33.27
4202404, Blumenau ,86.16,6.59,0.16,9.98,37.95,0.00,38.55,63.51,8.06,62.90,87.5,37.13,17.70,3.77,2.07,42.18
4202438, Bocaina do Sul ,87.79,12.47,2.50,24.16,36.19,6.60,30.07,51.09,0.00,58.95,85.02,50.96,60.52,14.55,20.00,43.90
4202453, Bombinhas ,100.00,0.00,0.39,0.00,52.82,37.50,18.15,0.00,0.00,0.00,.,.,100.00,100.00,0.00,100.00
4202503, Bom Jardim da Serra ,51.02,11.27,0.86,34.43,1.43,0.36,1.07,62.34,.,68.46,81.51,21.33,50.82,33.61,18.65,50.20
4202537, Bom Jesus ,59.88,43.83,2.14,0.00,30.57,29.94,1.91,87.74,0.00,81.94,55.33,28.39,42.59,19.75,43.83,30.25
4202578, Bom Jesus do Oeste ,14.40,47.37,28.65,27.42,67.47,88.55,12.05,94.05,.,93.51,94.01,44.47,55.40,22.16,56.23,13.30
4202602, Bom Retiro ,45.87,13.35,4.00,6.31,34.45,17.23,32.21,60.59,11.63,71.40,76.36,38.10,47.82,6.31,22.09,36.41
4202701, Botuvera,37.24,2.76,0.00,18.62,100.00,100.00,0.00,61.90,0.00,76.19,91.12,24.26,48.28,49.66,9.66,20.69
4202800, Braco do Norte ,36.66,27.72,17.84,1.49,85.59,1.80,83.78,57.79,0.00,66.05,84.02,25.56,71.71,15.23,18.33,21.08
4202859, Braco do Trombudo ,22.89,31.84,6.99,1.49,59.80,19.44,45.35,61.72,25.00,91.87,91.75,49.28,41.29,8.46,38.31,25.87
4202875, Brunopolis ,17.11,0.59,17.98,0.29,19.90,30.89,4.19,92.13,0.00,44.62,97.88,45.14,20.35,19.76,42.18,2.95
4202909, Brusque ,66.67,0.00,0.25,22.22,65.02,65.63,0.00,44.19,36.36,58.14,86.67,33.33,18.52,12.96,3.70,42.59
4203006, Cacador ,40.17,7.74,1.45,10.90,24.00,16.00,16.00,87.00,52.76,80.55,84.24,33.33,43.52,11.00,26.28,27.68
4203105, Caibi ,9.29,39.11,4.81,11.10,51.11,44.15,24.19,60.69,0.00,88.06,91.64,31.37,84.05,45.08,60.06,8.46
4203154, Calmon ,89.90,7.69,12.91,1.92,61.06,55.45,17.13,43.30,0.00,54.02,83.69,52.54,14.42,15.87,24.52,24.04
4203204, Camboriu,57.76,9.91,2.60,9.48,78.00,22.00,64.67,37.34,22.67,57.26,83.06,33.06,55.17,12.93,8.62,19.83
4203253, Capao Alto ,88.40,4.39,1.60,1.25,17.02,3.19,14.89,42.13,.,57.02,71.62,36.60,52.04,12.23,14.42,29.15
4203303, Campo Alegre ,41.04,12.21,13.27,3.26,34.46,33.71,10.36,74.47,0.00,79.71,88.09,37.18,37.46,10.42,27.36,39.25
