code,municipality,orgcomp,manure,covercrop,croprot,apm,diverse,straw,famlab,lowincome,associated,regtech,credit,offfarminc
4200051,Abdon Batista ,7.26,18.06,8.82,18.3,1.26,42.22,59.78,85.71,51.87,46.53,9.62,60.88,56.47
4200101,Abelardo Luz ,5.45,9.65,3.43,24.53,0.43,47.21,75.42,95.94,60.75,63.43,17.2,33.97,12.7
4200200,Agrolandia,3.74,44.3,33.49,24.83,55.99,37.58,44.86,85.92,38.55,38.87,22.26,30.65,26.03
4200309,Agronomica,3.96,10.84,60.75,11.61,3.97,17.52,33.39,80.99,24.84,49.6,46.74,40.06,15.1
4200408,Agua Doce,25.59,54.95,3.59,32.98,40.74,21.86,58.91,78.14,26.43,56.08,21.34,47.8,23.63
4200507,Aguas de Chapeco,0.81,56.99,21.65,34.3,56.73,48.95,31.66,71.53,44.39,74.54,33.38,57.26,18.21
4200556,Aguas Frias,0.52,28.65,10.6,50,19.58,66.05,81.13,95.73,43.72,80.42,21.46,67.22,10.85
4200606,Aguas Morras,1.37,47.4,0.84,2.65,7.96,19.76,5.97,72.22,39.06,63.27,12.17,28.54,11.95
4200705,Alfredo Wagner ,2.36,34.58,36.62,7.03,21.03,19.45,16.38,74.96,37.45,50.57,5.1,54.14,36.11
4200754,Alto Bela Vista ,5,94.69,17.26,40.16,88.98,48.57,64.83,98.18,42.08,59.06,12.86,44.88,18.9
4200804,Anchieta ,7.57,42.3,9.95,43.7,14.13,48.36,44.17,91.91,51.64,64.55,16.25,59.84,21.44
4200903,Angelina ,0.91,29.42,10.36,3.54,21.22,39.52,5.37,86.19,37.8,48.09,22.35,27.58,8.06
4201000,Anita Garibaldi ,19.06,3.4,0.93,8.6,2.55,38.77,6.64,92.37,52.38,47.57,8.26,33.36,41.96
4201109,Anitapolis,9.05,49.38,3.59,3.19,10.11,21.29,2.39,89.83,34.21,52.13,4.52,10.11,26.33
4201208,Antonio Carlos,0.37,76.42,0.3,0.94,5.94,32.33,0.16,89.57,44.48,16.72,9.22,22.97,24.38
4201257,Apiuna,0.47,31.13,17.39,3.32,19.39,14.1,2.49,90.81,21.28,23.55,23.27,14.68,22.16
4201273,Arabuta,0,90.79,0.13,50.89,47.34,30.41,38.06,79.64,36.44,75.17,37.52,45.7,26.19
4201307,Araquari ,11.5,28,1.2,4.8,18.08,15.02,1.48,91.53,32.41,29.15,15.5,22.14,18.08
4201406,Ararangua,1.41,59.35,28.14,1.57,3.14,8.33,1.05,57.42,25.95,29.98,55.87,32.18,8.28
4201505,Armenazem,7.59,43.1,3.06,16.97,0.81,26.07,1.21,85.97,32.68,45.05,25.05,14.55,25.25
4201604,Arroio Trinta ,0.79,88.98,58.54,38.08,11.92,43.61,83.46,87.45,32.71,58.85,37.31,48.46,20.77
4201653,Arvoredo ,9.12,69,0,45.38,3.26,36.62,80.98,97.65,47.01,70.38,45.11,46.47,18.21
4201703,Ascurra ,9.09,23.97,1.85,4.44,33.33,9.35,.,78.42,43.88,30.37,11.85,27.41,16.3
4201802,Atalanta ,2.11,27,69.5,22.29,36.09,39.5,55.82,90.82,31.6,66.86,46.35,48.92,14.79
4201901,Aurora ,4.7,38.73,55.37,6.82,5.32,21.91,29.06,80.98,25.76,61.66,33.7,48.57,13.37
4201950,Balneario Arroio do Silva ,20,60,6.45,8.7,8.7,12,.,94.74,48,.,0,4.35,26.09
4202057,Balneario Barra do Sul ,0,75,0,20,26.67,47.06,26.67,76.47,23.53,40,0,20,20
4202008,Balneario Camboriu,94.44,83.33,0,0,0,33.33,.,100,33.33,.,50,0,25
4202073,Balneario Gaivota ,1.5,46.62,17.42,7.3,0.36,11.76,.,77.43,23.18,46.35,6.57,24.82,41.97
4212809,Balneario Picarras ,16.67,27.27,47.02,2,2,6.32,1,83.7,20,38,6,24,6
4202081,Bandeirante ,9.33,44.02,0,45.9,14.75,57.58,75.61,79.36,42.8,57.99,17.62,59.02,18.65
4202099,Barra Bonita ,0,45.19,17.41,49.88,53.94,40.53,78.52,72.82,45.53,48.21,12.65,58.71,20.76
4202107,Barra Velha ,16.3,27.17,0.23,2.79,2.33,2.65,4.65,96.04,34.51,39.53,18.6,12.09,19.07
4202131,Bela Vista do Toldo ,0.25,0.62,0.38,5.57,1.93,12.3,14.79,91.78,35.25,51.77,45.77,46.95,5.89
4202156,Belmonte ,1.18,26.76,42.36,40.58,0.87,49.34,75.36,77.51,36.68,83.48,39.71,61.45,14.49
4202206,Benedito Novo ,1.71,64.39,5.09,2.57,15.75,37.16,7.53,87.99,33.13,29.11,6.51,7.02,38.87
4202305,Biguacu ,2.59,74.06,3.76,7.94,4.54,14.78,.,86.37,31.02,27.22,6.24,11.34,33.27
4202404,Blumenau ,9.03,91.12,0.16,6.59,9.98,35.59,1.88,87.5,37.13,17.7,3.77,2.07,42.18
4202438,Bocaina do Sul ,2.02,10.48,2.5,12.47,24.16,28.69,16.88,85.02,50.96,60.52,14.55,20,43.9
4202503,Bom Jardim da Serra ,4.05,8.81,0.39,11.27,34.43,12.41,.,81.51,21.33,50.82,33.61,18.65,50.2
4202537,Bom Jesus ,2.86,17.14,0.86,43.83,0,16.13,22.22,55.33,28.39,42.59,19.75,43.83,30.25
4202578,Bom Jesus do Oeste ,0,49.1,2.14,47.37,27.42,46.9,78.12,94.01,44.47,55.4,22.16,56.23,13.3
4202602,Bom Retiro ,6.67,27.67,28.65,13.35,6.31,16.77,10.44,76.36,38.1,47.82,6.31,22.09,36.41
4202453,Bombinhas ,0,0,0,0,0,0,.,.,.,100,100,0,100
4202701,Botuvera,1.55,5.43,4,2.76,18.62,18.93,1.38,91.12,24.26,48.28,49.66,9.66,20.69
4202800,Braco do Norte ,0.52,74.83,17.84,27.72,1.49,21.73,12.03,84.02,25.56,71.71,15.23,18.33,21.08
4202859,Braco do Trombudo ,3.54,35.35,6.99,31.84,1.49,37.8,24.88,91.75,49.28,41.29,8.46,38.31,25.87
4202875,Brunopolis ,1.39,3.47,17.98,0.59,0.29,27.56,52.51,97.88,45.14,20.35,19.76,42.18,2.95
4202909,Brusque ,27.27,42.42,0.25,0,22.22,11.11,1.85,86.67,33.33,18.52,12.96,3.7,42.59
4203006,Cacador ,6.6,23.32,1.45,7.74,10.9,28.14,32.43,84.24,33.33,43.52,11,26.28,27.68
4203105,Caibi ,12.36,43.42,4.81,39.11,11.1,49.45,48.13,91.64,31.37,84.05,45.08,60.06,8.46
4203154,Calmon ,2.13,28.72,12.91,7.69,1.92,25,11.54,83.69,52.54,14.42,15.87,24.52,24.04
4203204,Camboriu,4.76,35.37,2.6,9.91,9.48,11.43,1.29,83.06,33.06,55.17,12.93,8.62,19.83
4203303,Campo Alegre ,3.72,2.74,13.27,12.21,3.26,23.1,23.29,88.09,37.18,37.46,10.42,27.36,39.25
4203402,Campo Belo do Sul ,3.28,11.5,1.3,6.8,4.58,28.3,8.46,84.78,43.88,47.02,4.99,33.01,19
4203501,Campo Ere,14.95,26.13,6.13,27.46,9.05,43.73,68.01,82.44,57.58,61.71,22.46,48.3,23.1
4203600,Campos Novos ,12.23,59.71,5.25,29.34,4.81,31.39,60.58,84.05,40.51,47.77,21.8,44.05,15.71
4203709,Canelinha ,1.57,4.25,3.66,9.17,11.67,21.5,6.25,91.08,41.12,60.42,7.08,6.67,40.42
4203808,Canoinhas ,9.06,40.16,32.83,6.7,11.1,18.72,21.29,74.54,30.13,63.59,48.48,43.73,13.45
4203253,Capao Alto ,3.16,24.91,1.6,4.39,1.25,20.42,1.57,71.62,36.6,52.04,12.23,14.42,29.15
4203907,Capinzal ,10.48,64.07,0.59,26.29,21.13,31.62,33.51,82.46,41.92,52.06,26.55,38.92,22.42
4203956,Capivari de Baixo ,14.71,50,1.44,17.39,2.17,5,0.72,92.86,27.86,2.17,26.09,3.62,32.61
4204004,Catanduvas ,7.69,66.35,0.68,20.55,6.85,21.83,21.23,93.62,39.44,56.85,35.62,30.82,17.12
4204103,Caxambu do Sul ,15.91,65.81,1.56,30.3,30.3,44.99,71.28,79.32,38.83,76.77,22.37,54.69,12.84
4204152,Celso Ramos ,14.71,20.59,9.89,16.4,14.15,38.18,21.06,88.24,53.64,76.53,2.57,43.73,36.5
4204178,Cerro Negro ,4.59,2.59,13.86,23.15,3.54,43.79,18.81,75.28,58.85,79.58,33.6,40.03,13.83
4204194,Chapadao do Lageado ,0,18.01,1.81,3.08,0,12.4,33.14,64.23,28.82,64.74,32.76,45.09,22.93
4204202,Chapeco ,9.61,79.47,27.32,28.09,12.44,32.03,37.31,73.87,45.07,49.13,21.66,33.17,31.44
4204251,Cocal do Sul ,0.68,77.4,14.94,15.57,5.19,29.86,3.77,78.57,51.18,13.68,7.08,7.55,39.62
4204301,Concordia ,21.02,72.63,8.16,42.56,40.14,44.86,66.87,82.34,37.21,78.81,31.73,52.99,19.02
4204350,Cordilheira Alta ,1.33,80.44,16.39,43.59,27.04,22.55,17.02,96.81,42.82,42.66,30.3,44.29,7.23
4204400,Coronel Freitas ,23.61,71.18,3.54,48.81,41.45,29.95,53.28,73.63,34.55,57.65,35.88,56.76,16.4
4204459,Coronel Martins ,5.43,56.79,12.4,52.14,72.44,28.92,89.74,49.69,59.06,78.63,7.26,67.74,26.28
