code,municipality,nochem,usefert ,orgcomp,nitchem,notnitchem,manure,covercrop,innoculents,croprot,apm,noconvtill,directplanting,lowtill ,soil,drip,straw,famlab,lowincome,associated,regtech,credit,offfarminc,diverse
4200051,Abdon Batista ,21.14,73.97,7.26,99.44,0.74,18.06,8.82,5.21,18.3,1.26,73.67,77.05,8.36,46.59,57.14,59.78,85.71,51.87,46.53,9.62,60.88,56.47,42.22
4200101,Abelardo Luz ,25.34,69.15,5.45,94.34,2.1,9.65,3.43,0.49,24.53,0.43,73.16,87.17,3.46,75.65,6.67,75.42,95.94,60.75,63.43,17.2,33.97,12.7,47.21
4200200,Agrolandia,17.29,82.95,3.74,97.57,1.87,44.3,33.49,0,24.83,55.99,37.15,54.6,9.01,72.83,21.62,44.86,85.92,38.55,38.87,22.26,30.65,26.03,37.58
4200309,Agronomica,10.17,87.37,3.96,96.9,21,10.84,60.75,0.52,11.61,3.97,16.84,37.04,11.78,91.08,7.02,33.39,80.99,24.84,49.6,46.74,40.06,15.1,17.52
4200408,Agua Doce,49.56,73.71,25.59,88.65,25.77,54.95,3.59,1.44,32.98,40.74,82.89,77.38,10.65,79.03,50,58.91,78.14,26.43,56.08,21.34,47.8,23.63,21.86
4200507,Aguas de Chapeco,10.69,89.66,0.81,93.76,17.91,56.99,21.65,1.9,34.3,56.73,22.15,35.03,66.04,94.05,0,31.66,71.53,44.39,74.54,33.38,57.26,18.21,48.95
4200556,Aguas Frias,33.49,88.48,0.52,96.61,44.27,28.65,10.6,0,50,19.58,79.32,91.62,8.38,64.42,.,81.13,95.73,43.72,80.42,21.46,67.22,10.85,66.05
4200606,Aguas Morras,28.98,76.52,1.37,95.62,2.19,47.4,0.84,0.27,2.65,7.96,16.46,8.7,32.92,83.92,36.51,5.97,72.22,39.06,63.27,12.17,28.54,11.95,19.76
4200705,Alfredo Wagner ,17.12,81.96,2.36,99.09,39.6,34.58,36.62,0.24,7.03,21.03,35.06,19.23,35.91,90.5,0.8,16.38,74.96,37.45,50.57,5.1,54.14,36.11,19.45
4200754,Alto Bela Vista ,49.87,81.22,5,85,5.31,94.69,17.26,0.31,40.16,88.98,76.2,76.51,18.67,56.04,100,64.83,98.18,42.08,59.06,12.86,44.88,18.9,48.57
4200804,Anchieta ,23.2,79.14,7.57,81.62,36.08,42.3,9.95,0.54,43.7,14.13,76.45,53.03,41.58,80.74,0,44.17,91.91,51.64,64.55,16.25,59.84,21.44,48.36
4200903,Angelina ,18.1,83.89,0.91,98.48,35.52,29.42,10.36,1.98,3.54,21.22,27,6.94,55.81,86.7,25,5.37,86.19,37.8,48.09,22.35,27.58,8.06,39.52
4201000,Anita Garibaldi ,78.21,37.94,19.06,84.15,1.51,3.4,0.93,0.57,8.6,2.55,34.66,12.22,24.3,64.5,20,6.64,92.37,52.38,47.57,8.26,33.36,41.96,38.77
4201109,Anitapolis,52.93,54.48,9.05,87.24,10.29,49.38,3.59,0.41,3.19,10.11,22.1,7.73,14.92,72.21,20,2.39,89.83,34.21,52.13,4.52,10.11,26.33,21.29
4201208,Antonio Carlos,37.19,81.04,0.37,90.86,0.91,76.42,0.3,0,0.94,5.94,22.69,0.21,26.26,72.67,0,0.16,89.57,44.48,16.72,9.22,22.97,24.38,32.33
4201257,Apiuna,40.72,51.21,0.47,95.75,6.13,31.13,17.39,0.47,3.32,19.39,37.87,4.26,41.7,63.85,0,2.49,90.81,21.28,23.55,23.27,14.68,22.16,14.1
4201273,Arabuta,24.56,85.42,0,75.23,7.25,90.79,0.13,0,50.89,47.34,67.09,45.89,43.67,84.65,.,38.06,79.64,36.44,75.17,37.52,45.7,26.19,30.41
4201307,Araquari ,50.92,59.88,11.5,89.5,8,28,1.2,0.5,4.8,18.08,55.61,3.9,53.17,71.71,6.9,1.48,91.53,32.41,29.15,15.5,22.14,18.08,15.02
4201406,Ararangua,20.55,86.3,1.41,93.8,41.3,59.35,28.14,0.11,1.57,3.14,6.65,1.25,5.71,85.97,2.19,1.05,57.42,25.95,29.98,55.87,32.18,8.28,8.33
4201505,Armenazem,40.61,52.25,7.59,78.28,1.03,43.1,3.06,0,16.97,0.81,67.13,3.81,65.4,62.72,0,1.21,85.97,32.68,45.05,25.05,14.55,25.25,26.07
4201604,Arroio Trinta ,14.23,88.5,0.79,95.28,11.81,88.98,58.54,0,38.08,11.92,83.94,94.78,15.26,89.47,14.29,83.46,87.45,32.71,58.85,37.31,48.46,20.77,43.61
4201653,Arvoredo ,14.13,84.58,9.12,81.16,0.61,69,0,0,45.38,3.26,97.23,96.92,1.54,78.13,0,80.98,97.65,47.01,70.38,45.11,46.47,18.21,36.62
4201703,Ascurra ,42.22,74.69,9.09,94.21,5.79,23.97,1.85,1.65,4.44,33.33,7.56,0,7.56,82.73,0,.,78.42,43.88,30.37,11.85,27.41,16.3,9.35
4201802,Atalanta ,16.37,87.62,2.11,97.05,26.37,27,69.5,0,22.29,36.09,16.7,66.15,9.58,88.5,7.21,55.82,90.82,31.6,66.86,46.35,48.92,14.79,39.5
4201901,Aurora ,6.28,93.53,4.7,98.2,28.63,38.73,55.37,0.55,6.82,5.32,36.6,31.63,19.01,75.77,0,29.06,80.98,25.76,61.66,33.7,48.57,13.37,21.91
4201950,Balneario Arroio do Silva ,100,16.13,20,60,0,60,6.45,0,8.7,8.7,37.5,12.5,25,26.09,0,.,94.74,48,.,0,4.35,26.09,12
4202057,Balneario Barra do Sul ,66.67,44.44,0,25,0,75,0,0,20,26.67,0,0,0,88.24,0,26.67,76.47,23.53,40,0,20,20,47.06
4202008,Balneario Camboriu,50,85.71,94.44,44.44,0,83.33,0,0,0,0,16.67,22.22,0,0,0,.,100,33.33,.,50,0,25,33.33
