Municipality Code,,nochem,croprot,covercrop,apm,noconvtill,directplanting,lowtill ,soil,drip,famlab,lowincome,associated,regtech,credit,offfarminc,fertilizer 
4200051, Abdon Batista ,21.14,18.30,8.82,1.26,73.67,77.05,8.36,47.48,57.14,85.71,51.87,46.53,9.62,60.88,56.47,73.97
4200101, Abelardo Luz ,25.34,24.53,3.43,0.43,73.16,87.17,3.46,80.09,6.67,95.94,60.75,63.43,17.20,33.97,12.70,69.15
4200200,Agrolandia,17.29,24.83,33.49,55.99,37.15,54.60,9.01,76.20,21.62,85.92,38.55,38.87,22.26,30.65,26.03,82.95
4200309,Agronomica,10.17,11.61,60.75,3.97,16.84,37.04,11.78,90.94,7.02,80.99,24.84,49.60,46.74,40.06,15.10,87.37
4200408,Agua Doce,49.56,32.98,3.59,40.74,82.89,77.38,10.65,83.77,50.00,78.14,26.43,56.08,21.34,47.80,23.63,73.71
4200507,Aguas de Chapeco,10.69,34.30,21.65,56.73,22.15,35.03,66.04,100.13,0.00,71.53,44.39,74.54,33.38,57.26,18.21,89.66
4200556,Aguas Frias,33.49,50.00,10.60,19.58,79.32,91.62,8.38,65.33,.,95.73,43.72,80.42,21.46,67.22,10.85,88.48
4200606,Aguas Morras,28.98,2.65,0.84,7.96,16.46,8.70,32.92,78.54,36.51,72.22,39.06,63.27,12.17,28.54,11.95,76.52
4200705, Alfredo Wagner ,17.12,7.03,36.62,21.03,35.06,19.23,35.91,95.63,0.80,74.96,37.45,50.57,5.10,54.14,36.11,81.96
4200754, Alto Bela Vista ,49.87,40.16,17.26,88.98,76.20,76.51,18.67,53.54,100.00,98.18,42.08,59.06,12.86,44.88,18.90,81.22
4200804, Anchieta ,23.20,43.70,9.95,14.13,76.45,53.03,41.58,84.92,0.00,91.91,51.64,64.55,16.25,59.84,21.44,79.14
4200903, Angelina ,18.10,3.54,10.36,21.22,27.00,6.94,55.81,92.22,25.00,86.19,37.80,48.09,22.35,27.58,8.06,83.89
4201000, Anita Garibaldi ,78.21,8.60,0.93,2.55,34.66,12.22,24.30,65.87,20.00,92.37,52.38,47.57,8.26,33.36,41.96,37.94
4201109,Anitapolis,52.93,3.19,3.59,10.11,22.10,7.73,14.92,73.94,20.00,89.83,34.21,52.13,4.52,10.11,26.33,54.48
4201208,Antonio Carlos,37.19,0.94,0.30,5.94,22.69,0.21,26.26,71.88,0.00,89.57,44.48,16.72,9.22,22.97,24.38,81.04
4201257,Apiuna,40.72,3.32,17.39,19.39,37.87,4.26,41.70,68.98,0.00,90.81,21.28,23.55,23.27,14.68,22.16,51.21
